Question,Answer,Comment,Instruction,Render As
"かわいがっている犬。ふつうは飼い犬を指す。"	"愛犬,あいけん"	"かわいがっている犬。ふつうは飼い犬を指す。"	Guess the Word or Reading	Text
"「||相||＊」とは、主に「債務と債権」や「長所と短所」などが「互いに差し引きされ、打ち消し合うこと・帳消しにすること」を意味する表現である。法律用語としては特に「二者が相互に債務を持っている場合に差し引きして相当分を帳消しにすること」を意味する。"	"相殺,そうさい"	"「相殺」とは、主に「債務と債権」や「長所と短所」などが「互いに差し引きされ、打ち消し合うこと・帳消しにすること」を意味する表現である。法律用語としては特に「二者が相互に債務を持っている場合に差し引きして相当分を帳消しにすること」を意味する。"	Guess the Word or Reading	Text
"||指||＊とは、状況や物事に価値をつける際の基準となる要素、を意味する語。計測された客観的なデータによって示され、状況の変化を見出したり、変化の程度を見定めたりするために用いられる。||指||＊は英語では「index」あるいは「pointer」と訳されることが多い。「経済||指||＊」は、金利や物価、失業率などさまざまな要素が取りあげられてきた。これらのデータを分析することで、人々は客観的に経済状況を把握し、しかるべき対策を考案できる。また、経済に大きな動向があったとき、原因を調べるためにも||指||＊は用いられる。仮に不況が近づいているとして、経済||指||＊を正しく分析できていれば早い段階から準備しておくことも可能だ。ただし、大前提として||指||＊は、その分野に深く関わっている要因でなくてはならない。何を||指||＊に設定するかで、計測結果の信ぴょう性は変わってくる。ビジネス.."	"指標,しひょう"	"指標とは、状況や物事に価値をつける際の基準となる要素、を意味する語。計測された客観的なデータによって示され、状況の変化を見出したり、変化の程度を見定めたりするために用いられる。指標は英語では「index」あるいは「pointer」と訳されることが多い。「経済指標」は、金利や物価、失業率などさまざまな要素が取りあげられてきた。これらのデータを分析することで、人々は客観的に経済状況を把握し、しかるべき対策を考案できる。また、経済に大きな動向があったとき、原因を調べるためにも指標は用いられる。仮に不況が近づいているとして、経済指標を正しく分析できていれば早い段階から準備しておくことも可能だ。ただし、大前提として指標は、その分野に深く関わっている要因でなくてはならない。何を指標に設定するかで、計測結果の信ぴょう性は変わってくる。ビジネスシーンでは「指標カレンダー」という概念がしばしば登場する。指標カレンダーは経済指標カレンダーと似た意味であり、FX会社などの専門家たちが一般企業、個人を対象に提供している。指標カレンダーは、大国の政府や金融機関が定期的に観測している経済指標、相場指標について、発"	Guess the Word or Reading	Text
"||実||＊とは、印鑑登録した印鑑（判子）のことである。印鑑登録は、個人の場合は市区町村役場、法人の場合は法務局で手続きすることができる。ちなみに、ハンコ屋などで||実||＊用として販売されている印鑑を購入するだけでは||実||＊としての効力はない。||実||＊と認印（三文判）との違いは、契約書などの文書に押印した人が本人であることを、役所により証明してくれるのが||実||＊であるという点である。||実||＊のほうが認印よりも値段が高いということはなく、認印のほうが高価という場合もある。彫られる文字は、||実||＊は苗字と名前の組み合わせが多く、認印は苗字のみという場合が多い。||実||＊を使う機会は多くない。例えば、不動産の売買や生命保険の加入や保険金の受け取りなどである。一方、認印を使う機会は多い。荷物の受け取り、転入届や転出届など役所への届け出、申込書や契約書の捺印などが挙げら.."	"実印,じついん"	"実印とは、印鑑登録した印鑑（判子）のことである。印鑑登録は、個人の場合は市区町村役場、法人の場合は法務局で手続きすることができる。ちなみに、ハンコ屋などで実印用として販売されている印鑑を購入するだけでは実印としての効力はない。実印と認印（三文判）との違いは、契約書などの文書に押印した人が本人であることを、役所により証明してくれるのが実印であるという点である。実印のほうが認印よりも値段が高いということはなく、認印のほうが高価という場合もある。彫られる文字は、実印は苗字と名前の組み合わせが多く、認印は苗字のみという場合が多い。実印を使う機会は多くない。例えば、不動産の売買や生命保険の加入や保険金の受け取りなどである。一方、認印を使う機会は多い。荷物の受け取り、転入届や転出届など役所への届け出、申込書や契約書の捺印などが挙げられる。"	Guess the Word or Reading	Text
"||業||＊とは、事業の種類のことである。総務省の「日本標準産業分類」では、||業||＊を19に分類している（「分類不能の産業」を含めると20||業||＊）。これらの||業||＊はさらに細かく分類されている。例えば、「宿泊業、飲食サービス業」であれば、「宿泊業」「飲食店」「持ち帰り・配達飲食サービス業」の3つに分類され、さらに「飲食店」の場合であれば「食堂、レストラン」「専門料理店」「そば・うどん店」「すし店」「酒場、ビヤホール」「バー、キャバレー、ナイトクラブ」「喫茶店」「その他飲食店」に細分化される。「専門料理店」には、日本料理店や料亭、中華料理店、ラーメン店、焼肉店などが属する。||業||＊一覧農業、林業漁業鉱業、採石業、砂利採取業建設業製造業電気・ガス・熱供給・水道業情報通信業運輸業、郵便業卸売業、小売業金融業、保険業不動産業、物品賃貸業学術研究、専門・技術サービス業宿泊業、.."	"業種,ぎょうしゅ"	"業種とは、事業の種類のことである。総務省の「日本標準産業分類」では、業種を19に分類している（「分類不能の産業」を含めると20業種）。これらの業種はさらに細かく分類されている。例えば、「宿泊業、飲食サービス業」であれば、「宿泊業」「飲食店」「持ち帰り・配達飲食サービス業」の3つに分類され、さらに「飲食店」の場合であれば「食堂、レストラン」「専門料理店」「そば・うどん店」「すし店」「酒場、ビヤホール」「バー、キャバレー、ナイトクラブ」「喫茶店」「その他飲食店」に細分化される。「専門料理店」には、日本料理店や料亭、中華料理店、ラーメン店、焼肉店などが属する。業種一覧農業、林業漁業鉱業、採石業、砂利採取業建設業製造業電気・ガス・熱供給・水道業情報通信業運輸業、郵便業卸売業、小売業金融業、保険業不動産業、物品賃貸業学術研究、専門・技術サービス業宿泊業、飲食サービス業生活関連サービス業、娯楽業教育、学習支援業医療、福祉複合サービス事業サービス業（他に分類されないもの）公務（他に分類されるものを除く）分類不能の産業関連サイト：日本標準産業分類（総務省）"	Guess the Word or Reading	Text
"||法||＊とは、法要を執り行い、その後に会食等をする一連の弔事のことである。||法||＊と法要は同じような使われ方をすることが多いが、厳密には、法要といった場合には読経や焼香などの仏教行事を指し、会食等は含まない。主な||法||＊としては、命日から7日目の初七日（しょなのか）や49日目の四十九日（しじゅうくにち）、命日の翌年の一周忌、その翌年の三回忌、十三回忌などが挙げられる。"	"法事,ほうじ"	"法事とは、法要を執り行い、その後に会食等をする一連の弔事のことである。法事と法要は同じような使われ方をすることが多いが、厳密には、法要といった場合には読経や焼香などの仏教行事を指し、会食等は含まない。主な法事としては、命日から7日目の初七日（しょなのか）や49日目の四十九日（しじゅうくにち）、命日の翌年の一周忌、その翌年の三回忌、十三回忌などが挙げられる。"	Guess the Word or Reading	Text
"||課||＊とは、解決するべき問題のこと。対処が必要な事柄であり、それへの対処を任務として負わされているような問題のこと。つまり、いわゆる「問題」のうち「対処する」「解決する」といった行動に重点が置かれている問題を指し示す表現。"	"課題,かだい"	"課題とは、解決するべき問題のこと。対処が必要な事柄であり、それへの対処を任務として負わされているような問題のこと。つまり、いわゆる「問題」のうち「対処する」「解決する」といった行動に重点が置かれている問題を指し示す表現。"	Guess the Word or Reading	Text
"||約||＊とは、株式や債権、商品先物、為替などの金融取引における売買成立のことである。金融取引では、||約||＊日（||約||＊した日）が取引日となり、この日に取引契約が成立する。一方で||約||＊日の数日後が支払いが行われる決済日となり、決済日は金融商品の譲渡が行われる受渡日になることが慣習とされている。||約||＊を意味する英語には、 agreement や contract、stipulation などの表現がある。FX（外国為替証拠金取引）のルールでは、||約||＊日の2営業日後が受渡日になる。ただし新規注文の成立後に決済注文を発注するIFDやOCOでは2種類の注文が同じ日に||約||＊するケースがあり、この場合には受渡日は形式的なものとなり、差額の支払いのみが行われる。FXにおける||約||＊のタイミングは、注文方法によりそれぞれ異なる。「いくらでもいいから買います（売り.."	"約定,やくじょう"	"約定とは、株式や債権、商品先物、為替などの金融取引における売買成立のことである。金融取引では、約定日（約定した日）が取引日となり、この日に取引契約が成立する。一方で約定日の数日後が支払いが行われる決済日となり、決済日は金融商品の譲渡が行われる受渡日になることが慣習とされている。約定を意味する英語には、 agreement や contract、stipulation などの表現がある。FX（外国為替証拠金取引）のルールでは、約定日の2営業日後が受渡日になる。ただし新規注文の成立後に決済注文を発注するIFDやOCOでは2種類の注文が同じ日に約定するケースがあり、この場合には受渡日は形式的なものとなり、差額の支払いのみが行われる。FXにおける約定のタイミングは、注文方法によりそれぞれ異なる。「いくらでもいいから買います（売ります）」を意味する成行で注文した場合には、原則としてその時点における為替レートで即時に約定する。一方で「指定した価格で買います（売ります）」を意味する指値で注文した場合には、為替レートが注文時に指定した約定価格に達した時点で約定することになる。IFDの約定のタイミングは"	Guess the Word or Reading	Text
"本業とは別に持っている職業。副職。副収入を得るための事業。"	"副業,ふくぎょう"	"本業とは別に持っている職業。副職。副収入を得るための事業。"	Guess the Word or Reading	Text
"決められたことに従うこと、逸脱せずしっかり守ること、といった意味で用いられる語。「遵」の字には「法や道理に従う」という意味があり、「遵守」の他に「遵法」（法規に従う）、「遵奉」（教えに従う）あるいは「遵行」「遵用」のような語において用いられる。音読みは「じゅん」、訓読みは「したが（う）」と読ませる場合があるものの常用外の読み方とされる。「遵」は「順」に置き換えて表記される場合がままある。尊い（とうとい）の「尊」の字を用いた「尊守」（そんしゅ）は表記・読み方ともに誤用である。「遵守」に類似する語としては「堅守」なども挙げられる。"	"順守,じゅんしゅ"	"決められたことに従うこと、逸脱せずしっかり守ること、といった意味で用いられる語。「遵」の字には「法や道理に従う」という意味があり、「遵守」の他に「遵法」（法規に従う）、「遵奉」（教えに従う）あるいは「遵行」「遵用」のような語において用いられる。音読みは「じゅん」、訓読みは「したが（う）」と読ませる場合があるものの常用外の読み方とされる。「遵」は「順」に置き換えて表記される場合がままある。尊い（とうとい）の「尊」の字を用いた「尊守」（そんしゅ）は表記・読み方ともに誤用である。「遵守」に類似する語としては「堅守」なども挙げられる。"	Guess the Word or Reading	Text
"辞めるという意志・意向。辞任する気持ち。「||辞||＊の表明」という言い回しで用いることが多い。"	"辞意,じい"	"辞めるという意志・意向。辞任する気持ち。「辞意の表明」という言い回しで用いることが多い。"	Guess the Word or Reading	Text
"会合や催しごとなどに参加している物。裏方として参加している人物は含めない場合が多い。"	"参加者,さんかしゃ"	"会合や催しごとなどに参加している物。裏方として参加している人物は含めない場合が多い。"	Guess the Word or Reading	Text
"急に、俄かに、突然、やにわに、といった意味の表現。「無駄に終わる」などの意味で用いられる「||ふ||＊＊なる」は別の表現である。"	"不意に,ふいに"	"急に、俄かに、突然、やにわに、といった意味の表現。「無駄に終わる」などの意味で用いられる「ふいになる」は別の表現である。"	Guess the Word or Reading	Text
"継続していて切れ目がないこと。連続していること。持続していること。"	"持続的,じぞくてき"	"継続していて切れ目がないこと。連続していること。持続していること。"	Guess the Word or Reading	Text
"意見が不一致でまとまらないまま協議が終了すること。意見がまとまらない、または相対立したままの状態になること。「||物||＊＊に終わる」のような表現で用いられることが多い。"	"物別れ,ものわかれ"	"意見が不一致でまとまらないまま協議が終了すること。意見がまとまらない、または相対立したままの状態になること。「物別れに終わる」のような表現で用いられることが多い。"	Guess the Word or Reading	Text
"ある値が下落し、最低を記録することを意味する表現。主に物価などが最安値になることを指す場合に用いられる表現。"	"底打ち,そこうち"	"ある値が下落し、最低を記録することを意味する表現。主に物価などが最安値になることを指す場合に用いられる表現。"	Guess the Word or Reading	Text
"(1)陶磁器の別称。陶磁器の製作において、原料を火にかけることで性質を変化させる、「焼成」と呼ばれる作業が行われることに由来する。(2)日本料理（和食）において、食材を直接火にかける調理が行われた料理のこと。具体的には、魚、肉、野菜などを焼いた料理を指すことが多い。||焼||＊＊は、煮物・揚げ物・炒め物とともに、日本料理における基本料理の一つとされている。また、一汁三菜の「三菜」の一つである。"	"焼き物,やきもの"	"(1)陶磁器の別称。陶磁器の製作において、原料を火にかけることで性質を変化させる、「焼成」と呼ばれる作業が行われることに由来する。(2)日本料理（和食）において、食材を直接火にかける調理が行われた料理のこと。具体的には、魚、肉、野菜などを焼いた料理を指すことが多い。焼き物は、煮物・揚げ物・炒め物とともに、日本料理における基本料理の一つとされている。また、一汁三菜の「三菜」の一つである。"	Guess the Word or Reading	Text
"||世||＊＊とは、住居や生計を共にする人たちのうち、中心となって物ごとを取り計らう人のことである。年齢や所得は関係ない。||世||＊＊が18歳以上65歳未満の世帯のことを現役世帯と呼ぶ。例えば、30代の夫婦と10代の子ども2人の4人家族の場合、夫または妻が||世||＊＊になる。夫が||世||＊＊の場合、妻と子2人は世帯員と呼ばれる。10年後、子が就職のために別の所に引っ越しをして住民票を異動した場合、その住居地において子は||世||＊＊になる。なお、同じ住居地に生計を別々にする人たちがいる場合、それぞれが||世||＊＊になる。例えば、シェアハウスで共同生活をしている人たちは、||世||＊＊として住民票の異動を届け出ていればそれぞれが||世||＊＊となる。"	"世帯主,せたいぬし"	"世帯主とは、住居や生計を共にする人たちのうち、中心となって物ごとを取り計らう人のことである。年齢や所得は関係ない。世帯主が18歳以上65歳未満の世帯のことを現役世帯と呼ぶ。例えば、30代の夫婦と10代の子ども2人の4人家族の場合、夫または妻が世帯主になる。夫が世帯主の場合、妻と子2人は世帯員と呼ばれる。10年後、子が就職のために別の所に引っ越しをして住民票を異動した場合、その住居地において子は世帯主になる。なお、同じ住居地に生計を別々にする人たちがいる場合、それぞれが世帯主になる。例えば、シェアハウスで共同生活をしている人たちは、世帯主として住民票の異動を届け出ていればそれぞれが世帯主となる。"	Guess the Word or Reading	Text
"||相||＊＊とは、何らかの比較の上で成り立つ様子や評価のことである。単独では成立せず、2つ以上の比較対象を必要とする。そしてその比較対象の関係次第で、お互いの評価や立ち位置が変動するのが特徴である。似た言葉として比較的が挙げられるが、こちらは||相||＊＊よりも曖昧な意味合いを多く含んでいる。英語では、 relative と表現する。"	"相対的,そうたいてき"	"相対的とは、何らかの比較の上で成り立つ様子や評価のことである。単独では成立せず、2つ以上の比較対象を必要とする。そしてその比較対象の関係次第で、お互いの評価や立ち位置が変動するのが特徴である。似た言葉として比較的が挙げられるが、こちらは相対的よりも曖昧な意味合いを多く含んでいる。英語では、 relative と表現する。"	Guess the Word or Reading	Text
"他のあるものを主とし、自らは従属するものとなっているさま。従属した関係にあるといった意味。類義語としては「二次的」「付随的」、対義語としては「主要」などが挙げられる。"	"副次的,ふくじてき"	"他のあるものを主とし、自らは従属するものとなっているさま。従属した関係にあるといった意味。類義語としては「二次的」「付随的」、対義語としては「主要」などが挙げられる。"	Guess the Word or Reading	Text
"周りの多くのものから嘲笑される人。"	"笑い者,わらいもの"	"周りの多くのものから嘲笑される人。"	Guess the Word or Reading	Text
"結局。落ち着きどころとして。全て終わった時点でのことに言及する際の表現。"	"最終的,さいしゅうてき"	"結局。落ち着きどころとして。全て終わった時点でのことに言及する際の表現。"	Guess the Word or Reading	Text
"||積||＊＊＊ること。または、||積||＊＊＊たもの。"	"積み重ね,つみかさね"	"積み重ねること。または、積み重ねたもの。"	Guess the Word or Reading	Text
"苦労や頑張りなどを労う表現。通常は、目上の人には言わない。"	"ご苦労様,ごくろうさま"	"苦労や頑張りなどを労う表現。通常は、目上の人には言わない。"	Guess the Word or Reading	Text
"「善し悪し(||よ||＊＊＊)」が正しい書き方。物事の善悪の判断のこと。転じて、良い点と悪い点のこと。;良いことと悪いこと。「良悪」は「||良||＊＊＊」の送り仮名を略した形。"	"良し悪し,よしあし"	"「善し悪し(よしあし)」が正しい書き方。物事の善悪の判断のこと。転じて、良い点と悪い点のこと。;良いことと悪いこと。「良悪」は「良し悪し」の送り仮名を略した形。"	Guess the Word or Reading	Text
"||漢||＊＊＊（||か||＊＊＊＊＊）とは、漢字や、漢字を用いた熟語について日本語で説明した辞典のことである。「漢和字典」とも表記する。「漢字辞典」「漢字字典」もほぼ同義として用いられる。「漢和辞書」「漢和字書」ともいう。「漢和」と略称する。「漢」は中国語、「和」は日本語を意味し、「漢和」は中国語を日本語に翻訳したもののことである。「辞典」は明治時代に辞書の書名として用いられたのが一般化した語であり、「辞」は言葉、「典」は書物を意味している。現代の||漢||＊＊＊は、ふつう漢字１文字を見出しとし（これを親字という）、その音訓、意味、成り立ちを示し、さらに親字から構成される熟語を列挙してそれぞれの意味を記す。書籍のものでは、配列は部首の画数によるものが多いが、読みによって配列したものなどもある。検索の便をはかるため、音訓、総画数、部首などによる索引を設けている。||漢||＊＊＊は漢文.."	"漢和辞典,かんわじてん"	"漢和辞典（かんわじてん）とは、漢字や、漢字を用いた熟語について日本語で説明した辞典のことである。「漢和字典」とも表記する。「漢字辞典」「漢字字典」もほぼ同義として用いられる。「漢和辞書」「漢和字書」ともいう。「漢和」と略称する。「漢」は中国語、「和」は日本語を意味し、「漢和」は中国語を日本語に翻訳したもののことである。「辞典」は明治時代に辞書の書名として用いられたのが一般化した語であり、「辞」は言葉、「典」は書物を意味している。現代の漢和辞典は、ふつう漢字１文字を見出しとし（これを親字という）、その音訓、意味、成り立ちを示し、さらに親字から構成される熟語を列挙してそれぞれの意味を記す。書籍のものでは、配列は部首の画数によるものが多いが、読みによって配列したものなどもある。検索の便をはかるため、音訓、総画数、部首などによる索引を設けている。漢和辞典は漢文の読解を目的として編纂されてきた歴史があり、中国古典に見出せる語を扱うものが中心的である。一方で、日本で用いられる漢字語に特化したものや、現代中国語を取り込んだものなども刊行されている。現存する最古の漢和辞典とみなせるのは、平安時代前期に"	Guess the Word or Reading	Text
"そのようなものが存在するはずがない、そんなことが起こるはずがない、という意味の表現。そんなことがあってたまるものかという感情の表明などにも用いられる。"	"あり得ない,ありえない,有り得ない,ありえない"	"そのようなものが存在するはずがない、そんなことが起こるはずがない、という意味の表現。そんなことがあってたまるものかという感情の表明などにも用いられる。"	Guess the Word or Reading	Text
"相手へ干渉したり、自分が行動したりする際に、あらかじめ断りをいれる表現。部屋に入る場合、辞去する場合など、幅広い場面で用いられる。"	"失礼します,しつれいします"	"相手へ干渉したり、自分が行動したりする際に、あらかじめ断りをいれる表現。部屋に入る場合、辞去する場合など、幅広い場面で用いられる。"	Guess the Word or Reading	Text
"思考や感情をはじめとする、心中に抱いているもの、あるいは心のはたらき、などを広く指す言葉。インターネットスラングとして電子掲示板などでしばしば用いられる「||念||」は「||念||レス」の略で、自分の||念||じた内容すなわち書き込もうと思っていた事柄がすでに他ユーザーにより書かれていた場合に用いられる。つまり同意を示す表現。"	"念,ねん"	"思考や感情をはじめとする、心中に抱いているもの、あるいは心のはたらき、などを広く指す言葉。インターネットスラングとして電子掲示板などでしばしば用いられる「念」は「念レス」の略で、自分の念じた内容すなわち書き込もうと思っていた事柄がすでに他ユーザーにより書かれていた場合に用いられる。つまり同意を示す表現。"	Guess the Word or Reading	Text
"官庁と民間企業。「||官||＊連携」「||官||＊一体の取り組み」などの表現で用いられる。大学をはじめとする研究機関も交えた関係は「産学官」の表現が用いられることが多い。この場合「産」は「産業界」を表す。"	"官民,かんみん"	"官庁と民間企業。「官民連携」「官民一体の取り組み」などの表現で用いられる。大学をはじめとする研究機関も交えた関係は「産学官」の表現が用いられることが多い。この場合「産」は「産業界」を表す。"	Guess the Word or Reading	Text
"仏教儀式の総称。主に先祖を供養するための追善供養などの仏事を指す。例えば、お彼岸に行われる仏事を指して「お彼岸の||法||＊」などと呼ばれる。なお、「||法||＊」は、仏教の教義の中心となる部分を意味する場合もある。"	"法要,ほうよう"	"仏教儀式の総称。主に先祖を供養するための追善供養などの仏事を指す。例えば、お彼岸に行われる仏事を指して「お彼岸の法要」などと呼ばれる。なお、「法要」は、仏教の教義の中心となる部分を意味する場合もある。"	Guess the Word or Reading	Text
"(1)外見や物腰などにどっしりとした立派さを感じさせるさま、びくびくしておらず威厳を感じさせる様子などを意味する表現。「威風||堂||＊」などの表現で用いられる。(2)「||堂||＊巡り」の語において仏堂などの堂を指す表現。お堂の中を何度も回って祈願する様子から転じて、同じ議論を何度も繰り返す様子などを意味するようになった言い回し。"	"堂々,どうどう"	"(1)外見や物腰などにどっしりとした立派さを感じさせるさま、びくびくしておらず威厳を感じさせる様子などを意味する表現。「威風堂々」などの表現で用いられる。(2)「堂々巡り」の語において仏堂などの堂を指す表現。お堂の中を何度も回って祈願する様子から転じて、同じ議論を何度も繰り返す様子などを意味するようになった言い回し。"	Guess the Word or Reading	Text
"好んで唱和する、あるいは歌うことを意味する語。"	"愛唱,あいしょう"	"好んで唱和する、あるいは歌うことを意味する語。"	Guess the Word or Reading	Text
"「||固||＊」とは、人からの申し出などをきっぱりと断り辞退することを意味する言葉である。特に特定の役職・地位・役割に就くことへの依頼や打診を断った様子を本人ではない第三者が形容する時に用いられる。"	"固辞,こじ"	"「固辞」とは、人からの申し出などをきっぱりと断り辞退することを意味する言葉である。特に特定の役職・地位・役割に就くことへの依頼や打診を断った様子を本人ではない第三者が形容する時に用いられる。"	Guess the Word or Reading	Text
"(1)物事の事態などが非常に悪いさまを意味する語。「||散||＊な結果になる」などのように用いる。(2)物事が粉々に砕け散っているさまを意味する語。"	"散々,さんざん"	"(1)物事の事態などが非常に悪いさまを意味する語。「散々な結果になる」などのように用いる。(2)物事が粉々に砕け散っているさまを意味する語。"	Guess the Word or Reading	Text
"特別に与えられる待遇や権利、あるいは物品などを意味する表現。"	"特典,とくてん"	"特別に与えられる待遇や権利、あるいは物品などを意味する表現。"	Guess the Word or Reading	Text
"様々なものが溶け合っているさまを意味する語。"	"渾然,こんぜん"	"様々なものが溶け合っているさまを意味する語。"	Guess the Word or Reading	Text
"ある目標を成し遂げること、目指していたものをやり遂げることなどを意味する表現。"	"達成,たっせい"	"ある目標を成し遂げること、目指していたものをやり遂げることなどを意味する表現。"	Guess the Word or Reading	Text
"既に分かっていることに基づいて推測することを意味する語。俗に、主にインターネット上の発言の中で、表立っては言えない事情に気付いた時などに「あっ（||察||＊）」などの形で用いられることがある。"	"察し,さっし"	"既に分かっていることに基づいて推測することを意味する語。俗に、主にインターネット上の発言の中で、表立っては言えない事情に気付いた時などに「あっ（察し）」などの形で用いられることがある。"	Guess the Word or Reading	Text
"様々な物事や種類が揃っていること。種類を問わず、色々な物事が集まることを「||種||＊雑多」と言う。"	"種々,しゅじゅ"	"様々な物事や種類が揃っていること。種類を問わず、色々な物事が集まることを「種々雑多」と言う。"	Guess the Word or Reading	Text
"人が物事に関して抱く、主観的な考えのこと。意味が似た言葉としては「概念」が挙げられる。「||観||＊」が人がそれぞれ抱く考えを表す意味で使用するのに対し、「概念」は、物事において多くの人に共通する特徴を表現するときに用いることが多い表現。また、考えないように打ち消しても浮かんでくる考えのことを「強迫||観||＊」という。"	"観念,かんねん"	"人が物事に関して抱く、主観的な考えのこと。意味が似た言葉としては「概念」が挙げられる。「観念」が人がそれぞれ抱く考えを表す意味で使用するのに対し、「概念」は、物事において多くの人に共通する特徴を表現するときに用いることが多い表現。また、考えないように打ち消しても浮かんでくる考えのことを「強迫観念」という。"	Guess the Word or Reading	Text
"相手を見下したように嗤うこと。花が咲く様子を、人の笑顔になぞらえて表現したことが由来とされる。"	"笑う,わらう"	"相手を見下したように嗤うこと。花が咲く様子を、人の笑顔になぞらえて表現したことが由来とされる。"	Guess the Word or Reading	Text
"一緒に、または同時に行動すること。また、複数の人物や物体が同じ状態であること。"	"共に,ともに"	"一緒に、または同時に行動すること。また、複数の人物や物体が同じ状態であること。"	Guess the Word or Reading	Text
"||残||＊とは、残りかすを意味する言葉である。時代が変わり、新たな体制が始まったところに残っている前時代の名残を、比喩として表現することもある。読み方は、「||ざ||＊＊」あるいは「ざんさい」である。英語では、 residue と表現する。ちなみに、「||残||＊が残る」という表現は、「||残||＊」に残るの意味が含まれているため二重表現となり、誤表現である。"	"残滓,ざんし"	"残滓とは、残りかすを意味する言葉である。時代が変わり、新たな体制が始まったところに残っている前時代の名残を、比喩として表現することもある。読み方は、「ざんし」あるいは「ざんさい」である。英語では、 residue と表現する。ちなみに、「残滓が残る」という表現は、「残滓」に残るの意味が含まれているため二重表現となり、誤表現である。"	Guess the Word or Reading	Text
"順序通り、順番通り、順次、順を追って、という意味の表現。"	"順に,じゅんに"	"順序通り、順番通り、順次、順を追って、という意味の表現。"	Guess the Word or Reading	Text
"||塩||＊（||あ||＊＊＊）とは、料理の味加減や物事の具合、健康状態のことである。程よく物事を処理する、程よく並べる・配置するといった意味でも用いられる。「えんばい」と読むこともある。"	"塩梅,あんばい"	"塩梅（あんばい）とは、料理の味加減や物事の具合、健康状態のことである。程よく物事を処理する、程よく並べる・配置するといった意味でも用いられる。「えんばい」と読むこともある。"	Guess the Word or Reading	Text
"「||失||＊」とは、笑ってはいけない場面などで笑いをこらえきれずに思わず吹き出して笑ってしまう状態や出来事のことを意味する表現。"	"失笑,しっしょう"	"「失笑」とは、笑ってはいけない場面などで笑いをこらえきれずに思わず吹き出して笑ってしまう状態や出来事のことを意味する表現。"	Guess the Word or Reading	Text
"||夭||＊（||よ||＊＊＊）とは、まだ年若いうちに死去することを意味する表現。「早すぎる死」と惜しみ嘆くニュアンスを込めて用いられる場合が多い。早世、早死に、若死に、夭死、夭逝（ようせい）などとも言う。たとえば幼くして死んだ子、これから何かを成し遂げようとするときに命を落とした者、頭角を現し、あるいは全盛期のさなかに没した芸術家、などについては「||夭||＊」の語が用いられやすい。||夭||＊という表現は、「若死に」を意味するとはいえ、そこに年齢的な基準があるわけではない。「まだこれからというのに」というニュアンスの有無がある程度の基準となり得る。場合によっては40代で没した者に対して||夭||＊と表現することもある。||夭||＊の「夭」の字には「若い」という字義がある。たとえば「夭夭たる」は若く美しいさまを意味する文語的表現である。もともと年若い巫女の姿を表す象形文字と解釈され.."	"夭折,ようせつ"	"夭折（ようせつ）とは、まだ年若いうちに死去することを意味する表現。「早すぎる死」と惜しみ嘆くニュアンスを込めて用いられる場合が多い。早世、早死に、若死に、夭死、夭逝（ようせい）などとも言う。たとえば幼くして死んだ子、これから何かを成し遂げようとするときに命を落とした者、頭角を現し、あるいは全盛期のさなかに没した芸術家、などについては「夭折」の語が用いられやすい。夭折という表現は、「若死に」を意味するとはいえ、そこに年齢的な基準があるわけではない。「まだこれからというのに」というニュアンスの有無がある程度の基準となり得る。場合によっては40代で没した者に対して夭折と表現することもある。夭折の「夭」の字には「若い」という字義がある。たとえば「夭夭たる」は若く美しいさまを意味する文語的表現である。もともと年若い巫女の姿を表す象形文字と解釈されている。夭折の「折」は「草木を折る」動作をまさに示す会意文字である。「夭折」の語において特に「死ぬ」という字義で用いられている。なお夭逝の「逝」の字は、「死」を意味する（婉曲的な）表現によく用いられる。「折」と「逝」は字形こそ似ているが、読みは「夭折（よ"	Guess the Word or Reading	Text
"||参||＊とは、情報を整理したり考えを深めたりするための手がかりとして、他の情報などに接し、元の情報と対比したり考え合わせたりすること。理解の手助けとして用意された情報源に目をやること。||参||＊という行為は、もっぱら図表や書籍といった文書（文献）に接する行動を指して用いられる。「資料を照らし合わせる」という点に焦点があたっており、「資料を元に考えを深める」というニュアンスは希薄といえる。資料（や意見）を元に考えを深める、という部分に焦点を当てる場合は「参考」という表現が用いられる。「||参||＊」は、英語では文脈に応じて refer、compare、see、consult などの語に訳される。refer は「情報の拠り所に目を向ける」「役に立つ情報を差し向ける」という意味の単語である。「引き合いに出す」「言及する」「辞書を引く」といった意味合いも含む。compare は「比べる.."	"参照,さんしょう"	"参照とは、情報を整理したり考えを深めたりするための手がかりとして、他の情報などに接し、元の情報と対比したり考え合わせたりすること。理解の手助けとして用意された情報源に目をやること。参照という行為は、もっぱら図表や書籍といった文書（文献）に接する行動を指して用いられる。「資料を照らし合わせる」という点に焦点があたっており、「資料を元に考えを深める」というニュアンスは希薄といえる。資料（や意見）を元に考えを深める、という部分に焦点を当てる場合は「参考」という表現が用いられる。「参照」は、英語では文脈に応じて refer、compare、see、consult などの語に訳される。refer は「情報の拠り所に目を向ける」「役に立つ情報を差し向ける」という意味の単語である。「引き合いに出す」「言及する」「辞書を引く」といった意味合いも含む。compare は「比べる」という意味の単語である。並べて見比べる、対照する、というニュアンスがある。see は「見る」という意味の単語で、特に「よく見る」「目で捉える」というニュアンスがある。日本語の論文などで参考文献を示して「～を参照。」と述べる箇所は"	Guess the Word or Reading	Text
